Number,coords.x1,coords.x2
709,509900.7879,7625043.093
710,517345.6764,7625036.836
711,556431.873,7624947.897
712,386118.0701,7625576.914
713,391702.7673,7625615.17
714,432655.2881,7625836.932
715,439170.2068,7625862.676
716,537821.4216,7625932.653
717,421482.2081,7626717.458
718,459643.0253,7626857.251
719,548061.6665,7626836.258
720,379588.6798,7627391.566
721,405653.3836,7627563.997
722,449402.0246,7627759.325
723,373064.9721,7628272.868
724,494079.0682,7628767.901
725,523865.4455,7628751.444
726,567615.1482,7628628.217
727,487562.5899,7629695.069
728,574135.4993,7629530.681
729,368394.9601,7630097.902
730,395395.8736,7630294.117
731,435428.8946,7630502.469
732,455909.984,7630570.932
733,465219.431,7630593.519
734,534108.4965,7630594.943
735,540625.0983,7630579.962
736,413080.2589,7631329.371
737,518283.6253,7631551.409
738,546213.4311,7631496.017
739,382340.966,7632998.428
740,388859.4851,7633044.253
741,470800.0529,7633397.564
742,498732.8207,7633423.711
743,551805.3985,7633341.306
744,557392.1095,7633322.563
745,563909.9862,7633298.272
746,375815.2372,7633881.259
747,523873.6453,7634337.374
748,404678.8702,7635007.13
749,446585.1759,7635198.465
750,393497.2388,7635869.226
751,531326.4283,7636187.158
752,542501.5776,7636161.843
753,482900.3744,7637139.576
754,502457.7399,7637148.359
755,386964.7557,7637688.163
756,459615.2983,7638029.875
757,465203.5144,7638042.754
758,477311.2412,7638064.092
759,520153.6625,7638067.421
760,548094.6873,7638008.961
761,560202.6815,7637968.762
762,362737.6862,7638433.877
763,379505.9652,7638566.334
764,495006.7512,7639010.49
765,554617.4745,7638919.843
766,368319.6807,7639411.55
767,373909.4255,7639455.688
768,430734.4399,7639795.734
769,524813.2979,7639923.831
770,534129.9488,7640838.515
771,393460.749,7641458.342
772,472648.1914,7641782.825
773,357115.4781,7642112.75
774,513638.0441,7642731.624
775,562083.1738,7642619.409
776,383198.8425,7643251.801
777,547179.4544,7643600.901
778,351507.5802,7643926.692
779,410215.3227,7644354.276
780,443759.4163,7644503.989
781,556499.6782,7644503.097
782,378525.9374,7645081.599
783,387845.0767,7645148.119
784,397164.0117,7645209.331
785,507117.9045,7645530.869
786,523889.9981,7645514.981
787,542525.8279,7645477.168
788,577003.0316,7645351.267
789,371995.1213,7645963.843
790,423251.7172,7646284.348
791,490345.3034,7646461.377
792,361735.1761,7646812.522
793,402744.2098,7647107.361
794,500595.5082,7647396.073
795,529484.0786,7647369.549
796,536007.3575,7647356.508
797,428834.941,7648173.475
798,451202.3433,7648255.344
799,412053.9109,7649024.076
800,495003.6214,7649259.201
801,511779.4918,7649255.731
802,375694.7976,7649720.928
803,382220.1199,7649769.087
804,395270.4543,7649857.614
805,505255.838,7650191.139
806,572364.435,7650032.346
807,554657.9225,7651033.022
808,387800.4209,7651672.743
809,422293.3225,7651872.263
810,439072.8985,7651943.116
811,534153.2655,7652020.651
812,540680.7306,7652937.973
813,564918.7631,7652860.049
814,397105.5484,7654530.82
815,402699.9972,7654564.889
816,445588.9229,7654762.816
817,451182.9392,7654780.381
818,473558.7232,7654831.604
819,490340.3654,7654850.032
820,558399.6995,7654749.129
821,426005.361,7655618.733
822,496866.1834,7656717.298
823,378436.1975,7657201.101
824,468891.843,7657620.642
825,384957.9211,7658180.651
826,390553.7915,7658218.798
827,420397.3042,7658390.122
828,438116.1482,7658466.248
829,550952.5348,7658503.702
830,404537.7532,7659238.479
831,429719.0905,7659365.161
832,480079.2874,7659503.037
833,539764.2853,7659467.089
834,473549.7337,7660426.456
835,397997.5185,7661064.809
836,415720.0562,7661164.929
837,444634.6337,7661287.379
838,450230.8755,7661305.221
839,567750.0498,7661241.14
840,380267.5335,7661878.478
841,496865.1188,7662312.743
842,386784.7927,7663790.41
843,408242.4465,7663923.621
844,458618.1597,7664126.75
845,542574.0958,7664123.718
846,392376.4575,7664760.829
847,576161.8445,7664935.877
848,401700.8546,7665752.003
849,433423.227,7665910.271
850,490333.8037,7666041.567
851,506193.8448,7666043.233
852,439017.6848,7666864.883
853,463276.2031,7666936.573
854,549112.4261,7666904.409
855,446478.8906,7667823.784
856,468872.4911,7667881.093
857,479136.1003,7667897.225
858,494997.9592,7667909.629
859,423147.2837,7668664.973
860,500596.2845,7668843.449
861,385813.1585,7669382.73
862,397012.3985,7669456.202
863,409144.6009,7669527.242
864,457670.9721,7669722.467
865,554722.9051,7670619.353
866,576187.632,7670534.511
867,403534.2875,7671362.155
868,452066.5269,7671573.66
869,392321.8189,7673160.002
870,413791.3316,7673285.525
871,441793.8154,7673407.466
872,461394.9542,7673464.686
873,472595.455,7673486.979
874,512730.9109,7674438.129
875,385774.5654,7674983.37
876,448321.7575,7675296
877,466058.0212,7675341.75
878,397905.4225,7675996.065
879,409108.7842,7676061.176
880,454853.6652,7676248.576
881,487527.2422,7676305.268
882,572483.1392,7677085.359
883,415634.4823,7677962.954
884,430573.4442,7678032.081
885,392285.4821,7678761.817
886,436171.8818,7678988.233
887,443641.5993,7679015.232
888,564087.7591,7678987.234
889,420293.9951,7679853.482
890,467915.9676,7680013.516
891,556621.2173,7679948.087
892,452039.5689,7680909.103
893,475384.5028,7680960.011
894,491258.8789,7680975.921
895,550087.7112,7680902.835
896,411879.8955,7681678.805
897,461375.4258,7681867.221
898,511802.7965,7681907.843
899,384789.2072,7682447.396
900,405337.155,7682576.868
901,432421.8274,7682708.79
902,572507.5591,7682688.06
903,398793.5973,7683472.438
904,469774.9758,7684686.371
905,486586.9455,7684708.376
906,567845.4788,7684575.707
907,426805.8963,7685487.171
908,439883.1521,7685539.439
909,445487.6213,7685558.7
910,507135.2093,7685646.266
911,393171.3565,7686239.851
912,413723.5445,7686358.791
913,420258.2431,7687325.512
914,452954.9231,7687449.691
915,460428.2737,7687469.082
916,477243.1558,7687500.475
917,388487.7945,7688077.833
918,403436.7491,7688170.971
919,433333.3595,7688317.091
920,523017.8932,7688434.301
921,503399.7864,7689384.047
922,558521.5275,7689281.896
923,673452.5494,7688483.906
924,397819.5189,7690006.329
925,437997.6419,7690203.672
926,571605.686,7690165.287
927,415568.2723,7691039.843
928,494990.933,7691252.256
929,508071.9652,7691251.058
930,393135.5002,7691846.056
931,408087.6481,7691934.893
932,423973.8315,7692014.635
933,442662.946,7692089.132
934,462286.0626,7692144.88
935,455742.5942,7693063.313
936,388450.3944,7693684.726
937,401535.1442,7693766.791
938,428634.2052,7694838.838
939,447326.3316,7694908.046
940,490316.9709,7694988.063
941,566952.6067,7694857.059
942,419283.4511,7695731.07
943,472558.5793,7695902.989
944,395910.0202,7696536.976
945,460406.1638,7696813.35
946,508074.6688,7696858.157
947,412730.8908,7697567.773
948,452926.0135,7697728.744
949,477229.172,7697779.344
950,483772.2688,7697786.95
951,407116.8871,7698472.488
952,443575.3606,7698634.688
953,556684.5819,7698633.812
954,573515.4108,7699503.39
955,424870.603,7700431.174
956,430480.1973,7700455.33
957,436089.7452,7700477.613
958,448243.6232,7700519.463
959,520229.9415,7700587.024
960,399621.1703,7701234.285
961,419251.9736,7702275.138
962,649271.7746,7701806.296
963,463195.8837,7703363.813
964,480961.7293,7703393.308
965,411761.7182,7704107.768
966,451972.5608,7704270.6
967,404275.0198,7705002.074
968,434201.6073,7705145.66
969,457580.8559,7705220.812
970,510884.1373,7705270.741
971,446355.9154,7706123.988
972,516495.908,7706201.348
973,572608.7899,7706052.898
974,416423.6005,7706937.348
975,422970.7587,7706968.555
976,473475.5022,7707123.766
977,429513.9348,7707932.536
978,557651.4365,7707981.322
979,478149.3278,7709001.08
980,442602.2846,7709852.971
981,453827.4049,7709887.428
982,459439.9174,7709901.855
983,436050.6835,7710764.889
984,412658.1157,7711595.621
985,448209.1207,7711742.089
986,469726.0996,7711794.376
987,512759.3756,7711816.694
988,421073.8942,7712572.669
989,475336.4356,7713674.631
990,403286.1712,7714351.655
991,431354.2021,7715424.658
992,456619.2521,7715508.32
993,462233.6159,7715521.786
994,487497.9928,7715559.325
995,417313.1103,7716297.676
996,568909.8158,7716359.385
997,409821.4296,7717195.308
998,480945.892,7717424.748
999,509020.3506,7717433.067
1000,576400.5604,7717263.09
1001,499662.1855,7718371.307
1002,405131.4477,7719041.648
1003,465968.9874,7719273.032
