Number,coords.x1,coords.x2
439,741843.7253,7573025.316
440,732574.94,7574092.591
441,801297.4251,7573863.644
442,759527.1271,7575531.434
443,767899.6028,7576321.032
444,780900.5935,7576096.128
445,724273.1447,7577926.406
446,743771.6265,7577638.894
447,805994.6682,7576561.052
448,774448.1496,7578996.086
449,739170.9135,7580495.338
450,732683.8151,7581520.531
451,722494.2344,7583524.202
452,743871.3571,7584140.032
453,777331.7782,7584521.592
454,737410.5292,7587025.253
455,729991.6103,7588063.279
456,748574.0117,7587784.414
457,765299.6934,7587514.88
458,771820.3765,7588334.619
459,743041.5709,7590658.006
460,748660.8458,7593360.371
461,828615.1722,7591916.453
462,776579.7537,7594761.594
463,752437.5028,7597020.562
464,745014.0831,7598065.805
465,831520.6088,7597439.533
466,737603.8573,7600037.36
467,748790.7953,7601727.961
468,803667.7234,7600783.205
469,755359.885,7605346.168
470,743281.4405,7606463.92
471,749836.4103,7609155.083
472,835494.3271,7609460.602
473,748047.1855,7613836.534
474,756438.2022,7614636.336
475,765746.1022,7614485.787
476,821641.2797,7615331.821
477,751842.4597,7618432.998
478,838463.0738,7617783.596
479,746285.1342,7620380.996
480,740712.8251,7621396.075
481,776128.388,7622693.954
482,797550.826,7622314.726
483,834814.1558,7621587.515
484,751929.3711,7624019.716
485,788252.9501,7623414.542
486,769640.0314,7624666.475
487,821826.4224,7624646.913
488,746384.1992,7626899.582
489,778086.8796,7628251.238
490,839589.7683,7627081.918
491,796738.5899,7628853.377
492,805142.8724,7629629.995
493,741796.4738,7631627.223
494,748318.1986,7631528.985
495,791181.015,7630818.223
496,759513.6757,7632286.256
497,842503.7342,7632616.611
498,753034.6249,7635184.493
499,744661.4527,7636244.474
500,771689.6473,7635816.459
501,783807.0597,7635610.008
502,794993.1366,7635411.422
503,776381.6803,7637602.432
504,790365.3732,7637359.565
505,749363.9425,7638970.009
506,758685.3959,7638824.959
507,844467.0463,7637239.982
508,782039.4213,7641236.107
509,771798.2607,7642342.298
510,840814.2427,7641049.324
511,746637.9309,7643673.694
512,802589.1511,7642734.452
513,752246.6371,7644520.829
514,788616.0783,7643919.871
515,736422.4632,7646622.306
516,691689.5786,7649071.726
517,761631.0019,7648104.896
518,745789.4929,7649282.905
519,757011.3166,7650976.966
520,774736.3581,7650689.899
521,785948.2958,7651431.739
522,752375.7869,7652915.085
523,764519.3446,7653657.341
524,744940.2602,7654893.922
525,758032.0291,7656560.428
526,765542.714,7659241.576
527,749690.2187,7660422.894
528,808500.7128,7659427.362
529,851475.5493,7659501.476
530,780540.8014,7662728.409
531,824428.972,7661924.209
532,754414.5546,7664085.459
533,767485.1288,7663878.963
534,761898.139,7664902.374
535,844081.6505,7663395.249
536,749774.937,7666023.913
537,729248.398,7667255.052
538,791811.1026,7666269.535
539,852529.1975,7665086.524
540,814244.9523,7666792.88
541,734876.6864,7669043.856
542,745162.0165,7669828.761
543,751713.2707,7670664.611
544,804972.805,7670704.369
545,790975.633,7671890.538
546,855452.5631,7670633.528
547,759228.7103,7673351.569
548,828368.6024,7672126.996
549,797549.0332,7673643.162
550,745244.8782,7675432.812
551,753652.5614,7675306.509
552,737785.0613,7676475.659
553,750864.069,7676283.305
554,811600.6395,7675254.983
555,746220.5745,7678221.739
556,756498.4712,7678066.362
557,805093.0152,7677245.618
558,796698.0773,7678332.488
559,792057.6971,7680284.551
560,858458.248,7679922.607
561,751897.3304,7682810.217
562,775264.3105,7682440.59
563,729480.6295,7684068.71
564,808000.7533,7682802.864
565,781839.2316,7684200.867
566,756613.6367,7685543.084
567,803359.9322,7684758.605
568,739814.8369,7687662.905
569,747293.5619,7687553.84
570,773471.4599,7687145.68
571,859514.4631,7685514.685
572,794075.4897,7688666.442
573,760440.3097,7691095.018
574,742687.1727,7692297.235
575,779159.5803,7691728.641
576,802543.3934,7691322.241
577,817510.8522,7691044.944
578,729621.8742,7694352.1
579,748325.5783,7694085.298
580,783867.7909,7693520.711
581,754886.5287,7694922.263
582,797916.2829,7694212.557
583,811031.8963,7694910.22
584,740884.1973,7697000.346
585,790464.4726,7696215.06
586,862584.4898,7697620.613
587,725034.0062,7700962.656
588,809246.7515,7699623.841
589,817670.3712,7699466.679
590,834519.0532,7699139.64
591,746578.769,7702532.023
592,760614.657,7702320.393
593,792433.4542,7701797.223
594,803665.079,7701598.16
595,740978.107,7703549.079
596,754092.7042,7704292.176
597,814950.0771,7704200.022
598,863642.2304,7703218.758
599,799987.8429,7705409.688
600,748519.2118,7707183.637
601,808448.038,7707130.121
602,823430.2833,7706849.38
603,724210.6233,7709396.604
604,758843.7961,7708900.83
605,788802.086,7708414.584
606,754191.466,7710844.279
607,765426.1745,7710671.426
608,793532.3931,7711142.944
609,865657.531,7709735.456
610,742984.3661,7712882.028
611,836634.403,7711276.04
612,760788.3085,7713553.284
613,803884.3286,7713770.599
614,815124.9015,7713564.908
615,770197.2804,7716215.807
616,778626.8116,7716079.184
617,786120.0798,7715954.208
618,810475.6025,7715525.067
619,867653.6414,7715317.406
620,764607.0803,7718177.779
621,797393.5198,7717634.104
622,743078.4698,7719437.018
623,754318.1052,7719272.155
624,790867.8596,7719621.651
625,759966.8894,7721060.413
626,772145.6633,7720869.467
627,783419.6521,7722559.383
628,820905.1492,7721892.42
629,751577.5455,7723997.97
630,736600.6276,7725150.138
631,775954.0379,7724556.893
632,803131.8531,7724093.963
633,840626.39,7723383.894
634,855626.9908,7723076.616
635,758164.4827,7725773.595
636,787231.1368,7726245.028
637,771313.4929,7727443.729
638,794745.5895,7727054.114
639,763830.4261,7728498.78
640,780701.3886,7728229.059
641,805090.3759,7728747.363
642,821028.9843,7728454.458
643,742315.3663,7731630.648
644,753576.9504,7732404.486
645,767638.2511,7732189.705
646,777013.0737,7732040.063
647,797639.5306,7731692.669
648,825770.896,7731178.631
649,762027.9934,7733214.465
650,782653.7446,7732885.365
651,790170.5796,7733697.156
652,814552.2856,7733265.394
653,830496.3026,7732964.2
654,820214.5514,7735036.635
655,770524.8857,7736833.36
656,799613.468,7737286.601
657,787436.3797,7738433.719
658,794002.0024,7738322.185
659,824957.9603,7737762.347
660,837154.5159,7737526.375
661,764004.3009,7739749.263
662,777134.6868,7739541.778
663,782793.2734,7741325.772
664,870077.9415,7740601.966
665,875710.1223,7740479.428
666,753743.7884,7743656.804
667,802526.7338,7742865.794
668,766890.8814,7744395.617
669,772519.7024,7744307.156
670,810050.0604,7743670.096
671,778163.9101,7745155.051
672,828836.6424,7744259.2
673,782901.499,7747893.418
674,823258.4848,7747181.898
675,839216.591,7746874.375
676,877711.5332,7746071.489
677,793288.373,7751474.754
678,809246.7406,7751195.59
679,769837.7563,7752796.928
680,779254.4109,7754524.788
681,879734.6487,7752604.76
682,828094.9373,7754604.16
683,774590.589,7756477.705
684,785872.4623,7757233.734
685,842238.0219,7757148.304
686,790598.8339,7759033.425
687,811259.7994,7758673.715
688,752114.9204,7760576.622
689,781223.6463,7760127.787
690,832899.1088,7760149.935
691,854507.9216,7759720.569
692,758757.6007,7765174.945
693,847066.7599,7763631.541
694,884661.8229,7762837.74
695,794466.9801,7765544.784
696,810438.4977,7765266.199
697,782269.843,7766687.273
698,829248.533,7765859.252
699,776648.3147,7767717.49
700,788861.646,7767518.528
701,855601.7684,7767219.689
702,826517.7368,7770611.688
703,889509.6986,7769314.383
704,760748.835,7772662.141
705,784256.2945,7773233.958
706,860399.345,7771823.609
707,769234.6952,7774412.774
708,789910.8469,7774080.807
709,846333.0971,7773990.505
710,763638.8328,7777318.48
711,891517.4622,7774915.612
712,779632.7664,7778009.573
713,884012.5525,7776023.736
714,785288.3999,7778858.334
715,716696.8669,7781724.6
716,848326.3828,7779595.779
717,790976.1554,7781585.874
718,797558.3628,7781475.041
719,669726.6067,7784123.626
720,894467.2719,7780497.438
721,775961.7931,7783710.394
722,781603.7552,7783620.479
723,834271.8606,7782693.245
724,823942.2868,7783828.566
725,787276.7834,7785409.593
726,784470.6538,7786396.144
727,790129.3934,7787244.159
728,779798.1961,7788352.949
729,801433.1049,7787994.338
730,858827.8907,7786913.471
731,839102.7615,7789188.875
732,886164.0414,7788216.125
733,829710.1876,7790309.235
734,783621.3869,7792055.337
735,777991.5127,7793086.375
736,790222.7261,7792888.637
737,797750.087,7792762.709
738,803395.8454,7792666.141
739,816570.0952,7792433.739
740,846687.1745,7791865.309
741,863630.9604,7791522.788
742,882501.0041,7793006.107
743,844896.9425,7796609.226
744,861845.0395,7796269.134
745,784668.7546,7798627.061
746,798786.8916,7798393.339
747,804434.5018,7798296.675
748,834558.7062,7797750.454
749,791272.6167,7799460.633
750,795100.6515,7803163.547
751,787584.3114,7804229.235
752,807356.7601,7803896.386
753,800781.6881,7804951.391
754,862018.9014,7804745.778
755,900714.079,7806739.972
756,793326.9691,7809786.421
757,798993.8842,7810633.858
758,804661.6026,7811479.607
759,856574.9854,7815226.025
760,794393.7337,7817307.025
761,863192.5308,7816035.09
762,902791.7361,7815182.121
763,801005.409,7818138.925
764,790686.4032,7821138.226
765,809535.6465,7820820.775
766,840660.1732,7821195.99
767,874624.2895,7821457.959
768,801100.9441,7823793.731
769,903884.4458,7821762.981
770,795460.9443,7824830.871
771,818085.814,7824442.093
772,807748.1475,7826509.371
773,864347.1458,7826388.476
774,716343.5668,7829734.606
775,799310.4487,7829481.975
776,872915.2891,7829987.038
777,817276.8354,7832002.61
778,866330.1997,7831066.84
779,706031.3869,7834569.454
780,804089.0819,7833174.634
781,877692.5845,7832719.027
782,797518.5746,7835171.677
783,846572.7441,7834291.296
784,853196.0796,7835106.089
785,810756.4934,7836834.535
786,894742.5686,7835184.867
787,908946.0855,7836756.251
788,795709.8171,7839919.379
789,804200.9157,7839777.787
790,713662.1876,7842024.069
791,722161.4667,7842864.438
792,859914.894,7840637.755
793,870337.6821,7842315.305
794,810886.8719,7844383.115
795,798649.5964,7846477.97
796,805256.2937,7846367.433
797,818470.5595,7846139.08
798,692996.7127,7849803.667
799,825112.1368,7847909.285
800,812856.2121,7849070.002
801,808168.3132,7851039.195
802,877104.6041,7849733.312
803,913949.0313,7848927.44
804,818570.3946,7851803.482
805,840289.0132,7851408.127
806,869567.4727,7850833.846
807,801591.2244,7853038.782
808,707212.3875,7855308.391
809,852621.4499,7854006.66
810,737438.1458,7856825.67
811,825247.8712,7855463.357
812,805431.5442,7856752.602
813,812042.3351,7856640.098
814,876277.774,7855421.325
815,742183.1563,7858651.312
816,866867.6179,7857504.583
817,841393.3789,7859891.66
818,814012.8276,7861330.285
819,819681.0059,7861231.521
820,827255.9251,7862041.866
821,847098.4502,7861674.087
822,902883.8412,7861469.838
823,808392.8929,7864261.424
824,834849.4106,7863794.152
825,915239.7797,7864030.339
826,817890.5377,7866933.74
827,825450.7181,7866800.384
828,844352.9567,7866453.23
829,831155.4275,7868588.573
830,837771.8744,7868467.332
831,806598.6262,7869962.875
832,812301.4765,7871757.112
833,870916.6558,7870661.629
834,819879.8608,7872571.64
835,826514.0203,7873400.074
836,833131.9594,7873280.776
837,843532.2205,7873088.454
838,808584.4584,7875602.434
839,852078.5015,7874817.933
840,814289.2684,7877396.913
841,838874.7117,7876958.927
842,829435.2517,7878076.936
843,876726.7158,7877166.427
844,846476.0782,7878709.063
845,806788.5858,7881307.271
846,869216.0078,7880158.4
847,835178.4037,7881757.331
848,840853.8975,7881652.93
849,851259.5919,7881456.957
850,814386.4148,7883070.869
851,904289.015,7882260.412
852,864560.679,7884037.519
853,874969.9026,7883828.331
854,894864.8409,7884359.053
855,830533.9704,7886572.917
856,837156.8826,7886452.882
857,788940.8596,7889164.506
858,846654.3451,7888169.794
859,901552.7145,7887055.714
860,808822.7013,7889788.606
861,852350.4537,7889008.541
862,858029.02,7888899.191
863,841957.928,7890150.815
864,867512.7127,7889659.583
865,895933.3726,7890018.883
866,828742.9306,7892284.219
867,814563.9444,7893477.681
868,836331.4607,7893094.397
869,863801.0677,7893521.149
870,809864.0247,7895450.318
871,848672.0606,7894759.62
872,868572.5589,7895321.035
873,813681.783,7897279.492
874,863856.9211,7896361.571
875,845902.8094,7898599.925
876,873383.3315,7899014.143
877,916979.1799,7899032.869
878,822299.5029,7902813.623
879,928393.5558,7900669.046
880,806219.1014,7904032.754
881,811900.1333,7903938.27
882,790138.7793,7905237.745
883,861163.7772,7903993.602
884,868741.9852,7903844.812
885,851709.5682,7905122.428
886,934146.3453,7903380.424
887,801561.8009,7908844.718
888,808191.1742,7908736.22
889,847044.1516,7909000.544
890,929516.3313,7908230.368
891,864135.228,7910570.238
892,896358.1411,7909913.263
893,857520.3055,7911646.138
894,934301.0862,7910016.882
895,820585.0615,7913264.819
896,804495.6714,7914481.679
897,916328.4221,7912323.827
898,813985.288,7915272.296
899,851906.1966,7915544.843
900,868019.0961,7915234.636
901,797909.7198,7917430.69
902,860454.5682,7916330.198
903,939153.8564,7914647.894
904,808363.1652,7919156.955
905,875659.4518,7917927.856
906,934455.4096,7916655.718
907,845342.0035,7919459.749
908,918352.0516,7917971.465
909,855787.3484,7920212.64
910,870008.5466,7919937.29
911,865304.9086,7921926.569
912,851118.2644,7924094.368
913,876721.8235,7923598.21
914,942178.5454,7922170.77
915,807524.2945,7925806.9
916,814175.8308,7926645.143
917,857791.8392,7925865.663
918,869190.9272,7926594.048
919,924214.6241,7925433.264
920,881540.8105,7927296.525
921,887252.1105,7928128.919
922,913818.7908,7927563.6
923,873989.8787,7929346.069
924,894861.8599,7928920.032
925,901503.7248,7928779.599
926,849345.1582,7930768.097
927,863573.5429,7930498.961
928,943284.0658,7928792.172
929,814286.5701,7933282.494
930,857918.0133,7932505.145
931,869321.0816,7933234.467
932,806730.701,7935304.07
933,879777.408,7933976.224
934,890216.0761,7933763.359
935,897808.4178,7933604.905
936,850399.3285,7936442.435
937,801085.6891,7938240.959
938,862752.5382,7937158.647
939,884580.0909,7936727.299
940,943440.2205,7935438.308
941,810586.7085,7939036.181
942,816278.5554,7938941.9
943,901685.475,7937321.331
944,873228.7622,7938853.644
945,855214.678,7940149.615
946,892232.2417,7939419.059
947,920715.2476,7938807.588
948,850504.7401,7942136.1
949,868538.673,7941794.077
950,880879.1848,7941550.131
951,812577.8493,7944697.613
952,861930.5206,7943820.529
953,912252.1971,7942793.861
954,874290.3284,7944530.503
955,886633.2849,7944283.124
956,949318.3152,7942902.668
957,854389.7514,7946811.699
958,892369.7032,7946065.432
959,939862.2428,7945025.244
960,880993.5026,7947246.901
961,916134.2003,7946510.136
962,865819.0416,7948494.799
963,812671.5098,7950391.994
964,900027.0846,7948756.373
965,947530.1093,7947698.335
966,825993.51,7952067.742
967,910516.9385,7950433.82
968,817465.0763,7953161.368
969,870640.7406,7952201.563
970,885837.8703,7951899.963
971,920038.68,7951176.817
972,953299.7974,7950414.546
973,876358.1912,7953039.719
974,810850.5156,7955169.644
975,864046.9699,7955179.03
976,905847.7371,7954335.979
977,822292.2112,7957829.373
978,882133.5144,7956726.351
979,901136.8157,7956336.805
980,916341.7411,7956011.485
981,887853.4626,7957561.639
982,817575.5934,7959808.187
983,868869.6762,7958887.796
984,894524.5297,7958375.779
985,926838.8034,7957681.792
986,862237.2911,7959964.95
987,910700.8965,7958986.092
988,921156.5238,7958758.784
989,943972.3467,7958242.883
990,956333.0202,7957952
991,810974.0451,7962766.607
992,951623.6117,7959966.593
993,878445.9615,7962503.182
994,899355.3465,7962078.834
995,905058.5625,7961959.122
996,915515.2148,7961735.218
997,820504.2166,7964509.917
998,891770.9266,7963186.269
999,885136.7261,7964271.535
1000,872799.4594,7965466.041
1001,957420.1356,7963635.477
1002,858579.1772,7967638.396
1003,922274.6013,7966343.877
